source_product_id,source_url,source_page_type,source_confidence,name,slug,brand_name,product_type,publication_status,short_description,description_html,tax_class,is_dangerous_goods,is_special_order,is_preorder,captured_at,capture_method,notes
pilot-001,https://www.adventuremoto.com.au/helmetlok-ii-t-bar-combo,product,HIGH,HelmetLok II & T-BAR Combo,helmetlok-ii-t-bar-combo,HelmetLok,ACCESSORY,DRAFT,,,,,false,,2026-07-28,public-search-index,"Simple single-SKU, sold-out pilot record."
pilot-002,https://www.adventuremoto.com.au/airoh-commander-2-doom-matte-gold-adventure-helmet,product,MEDIUM,Airoh Commander 2 Doom Matte Gold Adventure Helmet,airoh-commander-2-doom-matte-gold-adventure-helmet,Airoh,HELMET,DRAFT,,,,,,,2026-07-28,public-search-index,The index exposes multiple sizes and MPNs but not a reliable selected size-to-SKU mapping.
pilot-003,https://www.adventuremoto.com.au/klim-latitude-jacket-size-2xlarge-colour-option-st,product-variant,HIGH,Klim Latitude Jacket,klim-latitude-jacket,Klim,APPAREL,DRAFT,,,,,true,,2026-07-28,public-search-index,Variant page with size and colour options.
pilot-004,https://www.adventuremoto.com.au/klim-badlands-pro-jacket-colour-option-peyote-pott~94740,product-variant,HIGH,Klim Badlands Pro Jacket,klim-badlands-pro-jacket,Klim,APPAREL,DRAFT,,,,,,,2026-07-28,public-search-index,"Three-dimensional variant example: length, size and colour."
pilot-005,https://www.adventuremoto.com.au/camel-adv-yamaha-tenere-700-19-24-tenere-700-25-20,product,HIGH,Camel ADV Yamaha Tenere 700 20mm Lowering Links,camel-adv-yamaha-tenere-700-20mm-lowering-links,Camel ADV Products,MOTORCYCLE_PART,DRAFT,,,,,true,,2026-07-28,public-search-index,The page exposes model-year choices but not a trustworthy SKU per choice.
pilot-006,https://www.adventuremoto.com.au/camel-adv-yamaha-tenere-700-high-mount-exhaust-kit~93322,product-variant,MEDIUM,Camel ADV Yamaha Tenere 700 High Mount Exhaust Kit,camel-adv-yamaha-tenere-700-high-mount-exhaust-kit,Camel ADV Products,MOTORCYCLE_PART,DRAFT,,,,,,,2026-07-28,public-search-index,"The indexed page exposes muffler and model-year options, but only one selected SKU."
pilot-007,https://www.adventuremoto.com.au/p/Outback-Motortek-Yamaha-Tenere-700-World-Raid-19-2/OBM-YAM-T700-SP-BK,product,MEDIUM,Outback Motortek Yamaha Tenere 700/World Raid Matte Black Skid Plate,outback-motortek-yamaha-tenere-700-world-raid-matte-black-skid-plate,Outback Motortek,MOTORCYCLE_PART,DRAFT,,,,,false,,2026-07-28,public-search-index,The source URL and rendered title disagree on model years; fitment must be confirmed.
pilot-008,https://www.adventuremoto.com.au/p/Maxxis-MA-ADV-110-80-19-Adventure-Front-Tyre/T41-19-11080,product,MEDIUM,Maxxis MA-ADV 110/80-19 Adventure Front Tyre,maxxis-ma-adv-110-80-19-adventure-front-tyre,Maxxis,TYRE,DRAFT,,,,,,,2026-07-28,public-search-index,The indexed product record exposes a URL-level SKU but not reliable price or stock.
pilot-009,https://www.adventuremoto.com.au/p/Continental-TKC80-170-60-17-120-70-19-TL-Adventure/240249-b,product,MEDIUM,Continental TKC80 170/60-17 & 120/70-19 TL Adventure Tyre Set,continental-tkc80-170-60-17-120-70-19-tl-adventure-tyre-set,Continental,TYRE_SET,DRAFT,,,,,,,2026-07-28,public-search-index,Price was observed in the indexed tyre listing and must be rechecked before import.
pilot-010,https://www.adventuremoto.com.au/motohansa-pro-compact-38-piece-tool-kit-for-bmw-mo,product,HIGH,Motohansa BMW Pro Enduro Tool Set,motohansa-bmw-pro-enduro-tool-set,Moto-Hansa,TOOL,DRAFT,,,,,false,,2026-07-28,public-search-index,"Simple in-stock tool with separate SKU, MPN and supplier SKU values."
pilot-011,https://www.adventuremoto.com.au/acerbis-kidney-belt-motobrand-2.0-size-small-mediu,product-variant,HIGH,Acerbis Kidney Belt Motobrand 2.0,acerbis-kidney-belt-motobrand-2-0,Acerbis,RIDING_PROTECTION,DRAFT,,,,,true,,2026-07-28,public-search-index,Special-order option record without a reliable indexed price.
pilot-012,https://www.adventuremoto.com.au/alpine-stars-tech-air-offroad-airbag-system,product-variant,HIGH,Alpinestars Tech-Air Offroad Airbag System,alpinestars-tech-air-offroad-airbag-system,Alpinestars,AIRBAG_SYSTEM,DRAFT,,,,,,,2026-07-28,public-search-index,Safety product; shipping/dangerous-goods classification requires manual confirmation.
pilot-013,https://www.adventuremoto.com.au/luggage/?pgnum=7,category-listing,MEDIUM,ADVWORX Gen-2 30L Saddlebags & 40L Duffel Bag Bundle,advworx-gen-2-30l-saddlebags-40l-duffel-bag-bundle,ADVWORX,LUGGAGE_BUNDLE,DRAFT,,,,,,,2026-07-28,public-search-index,Listing-level record; a canonical product URL and full details are still required.
pilot-014,https://www.adventuremoto.com.au/p/500-Adventuremoto-Gift-Certificate/ADVmoto-gift500,product,HIGH,$500 Adventuremoto Gift Certificate,500-adventuremoto-gift-certificate,Adventure Moto,GIFT_CERTIFICATE,DRAFT,,,,false,false,false,2026-07-28,public-search-index,Non-physical product used to test fulfilment and tax exceptions.
pilot-015,https://www.adventuremoto.com.au/camel-adv-products-honda-africa-twin-cfr1000l-high,product,MEDIUM,Camel ADV Honda Africa Twin CRF1000L High Fender Kit,camel-adv-honda-africa-twin-crf1000l-high-fender-kit,Camel ADV Products,MOTORCYCLE_PART,DRAFT,,,,,true,,2026-07-28,public-search-index,Bike-specific part with incomplete indexed model-year coverage.
